PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
20,2757,,20,4,400,2726,6,14,303,309,3029
,,,20,5,400,2656,36,14,303,339,2959
,,,20,6,400,2746,66,14,303,369,3049
,,,20,7,400,2735,95,14,304,399,3039
,,,20,8,400,2755,125,14,304,429,3059
,,,20,9,50,865,155,4,304,459,1169
,,,20,10,50,724,154,3,305,459,1029
,,,20,11,50,704,154,3,305,459,1009
,,,20,12,50,644,154,3,305,459,949
,,,20,13,50,763,154,3,306,460,1069
,,,20,14,50,743,154,3,306,460,1049
,,,20,15,50,683,154,3,306,460,989
,,,20,16,50,802,154,3,307,461,1109
,,,20,17,50,782,154,3,307,461,1089
,,,20,18,50,662,154,3,307,461,969
,,,20,19,50,841,154,3,308,462,1149
,,,20,20,50,821,154,3,308,462,1129
,,,20,21,50,881,154,3,308,462,1189
,,,20,22,50,620,153,3,309,462,929
,,,20,23,50,900,154,3,309,463,1209
