PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,CreateTick,firstSchedTick,EndSchedtick,priority
20,8007,,20,4,400,8006,6,14,447,453,8453,80
,,,20,5,400,7986,36,14,447,483,8433,80
,,,20,6,400,7996,66,14,447,513,8443,80
,,,20,7,400,7965,95,14,448,543,8413,80
,,,20,8,400,7975,125,14,448,573,8423,80
,,,20,9,400,6085,155,15,448,603,6533,2
,,,20,10,400,5884,154,15,449,603,6333,2
,,,20,11,400,5984,155,15,449,604,6433,2
,,,20,12,400,5874,155,15,449,604,6323,2
,,,20,13,400,6094,155,15,449,604,6543,2
,,,20,14,400,6113,155,15,450,605,6563,2
,,,20,15,400,5203,155,15,450,605,5653,2
,,,20,16,400,6103,156,15,450,606,6553,2
,,,20,17,400,6152,155,15,451,606,6603,2
,,,20,18,400,6132,155,15,451,606,6583,2
,,,20,19,400,5991,155,15,452,607,6443,2
,,,20,20,400,6061,156,15,452,608,6513,2
,,,20,21,400,6121,156,15,452,608,6573,2
,,,20,22,400,6140,155,15,453,608,6593,2
,,,20,23,400,6070,156,15,453,609,6523,2
