PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
20,11616,,20,4,400,7734,7,14,322,329,8056
,,,20,5,400,7684,37,14,322,359,8006
,,,20,6,400,7743,66,14,323,389,8066
,,,20,7,400,7693,96,14,323,419,8016
,,,20,8,400,7754,126,14,323,449,8077
,,,20,9,400,6111,155,2303,324,479,6435
,,,20,10,400,6170,155,2496,324,479,6494
,,,20,11,400,11614,155,6763,324,479,11938
,,,20,12,400,8167,155,3395,325,480,8492
,,,20,13,400,5976,155,2671,325,480,6301
,,,20,14,400,6186,155,2757,325,480,6511
,,,20,15,400,4997,154,2115,326,480,5323
,,,20,16,400,6219,155,2025,326,481,6545
,,,20,17,400,6318,155,1715,326,481,6644
,,,20,18,400,6818,154,2173,327,481,7145
,,,20,19,400,8885,155,3150,327,482,9212
,,,20,20,400,8282,155,2255,327,482,8609
,,,20,21,400,8010,154,2183,328,482,8338
,,,20,22,400,9257,155,3154,328,483,9585
,,,20,23,400,8028,155,1847,328,483,8356
