PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick,Priority
20,¹«ÇÑ,,20,4,400,2973,2,401,838,840,3811,80
,,,20,5,400,2982,5,401,838,843,3820,80
,,,20,6,400,2980,4,401,840,844,3820,80
,,,20,7,400,2980,5,401,840,845,3820,80
,,,20,8,400,2980,6,401,840,846,3820,80
,,,20,9,400,0,0,15333,840,852,21681,2
,,,20,10,400,11970,6,6467,846,852,12816,2
,,,20,11,400,10800,6,5274,846,852,11646,2
,,,20,12,400,7858,18,2365,846,864,8704,2
,,,20,13,400,8790,6,3287,858,864,9648,2
,,,20,14,400,7565,14,2177,858,872,8423,2
,,,20,15,400,6768,7,1807,865,872,7633,2
,,,20,16,400,6635,7,1754,865,872,7500,2
,,,20,17,400,7826,14,2353,865,879,8691,2
,,,20,18,400,8730,14,3231,872,886,9602,2
,,,20,19,400,7824,14,2359,879,893,8703,2
,,,20,20,400,7847,21,2384,886,907,8733,2
,,,20,21,400,7432,15,2121,900,915,8332,2
,,,20,22,400,6105,7,1549,908,915,7013,2
,,,20,23,400,7475,7,2147,908,915,8383,2
