PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
3,241,,3,4,40,101,1,2,418,419,519
4,401,,3,5,80,151,31,3,418,449,569
5,602,,3,6,120,241,61,4,418,479,659
6,844,,4,7,40,131,1,2,661,662,792
7,1122,,4,8,80,181,31,3,661,692,842
8,1442,,4,9,120,331,61,4,661,722,992
9,1803,,4,10,160,400,90,6,662,752,1062
10,2203,,5,11,40,162,2,2,1064,1066,1226
11,2644,,5,12,80,212,32,3,1064,1096,1276
12,3124,,5,13,120,301,61,4,1065,1126,1366
13,3644,,5,14,160,551,91,6,1065,1156,1616
14,4204,,5,15,200,601,121,7,1065,1186,1666
15,4804,,6,16,40,193,3,2,1668,1671,1861
16,5445,,6,17,80,242,32,3,1669,1701,1911
17,6127,,6,18,120,392,62,4,1669,1731,2061
18,6846,,6,19,160,611,91,6,1670,1761,2281
19,7606,,6,20,200,751,121,7,1670,1791,2421
,,,6,21,240,841,151,8,1670,1821,2511
,,,7,22,40,222,2,2,2514,2516,2736
,,,7,23,80,272,32,3,2514,2546,2786
,,,7,24,120,362,62,4,2514,2576,2876
,,,7,25,160,581,91,6,2515,2606,3096
,,,7,26,200,781,121,7,2515,2636,3296
,,,7,27,240,1021,151,8,2515,2666,3536
,,,7,28,280,1120,180,10,2516,2696,3636
,,,8,29,40,252,2,2,3638,3640,3890
,,,8,30,80,302,32,3,3638,3670,3940
,,,8,31,120,392,62,4,3638,3700,4030
,,,8,32,160,731,91,6,3639,3730,4370
,,,8,33,200,931,121,7,3639,3760,4570
,,,8,34,240,1201,151,8,3639,3790,4840
,,,8,35,280,1330,180,10,3640,3820,4970
,,,8,36,320,1440,210,11,3640,3850,5080
,,,9,37,40,283,3,2,5082,5085,5365
,,,9,38,80,333,33,3,5082,5115,5415
,,,9,39,120,422,62,4,5083,5145,5505
,,,9,40,160,702,92,6,5083,5175,5785
,,,9,41,200,902,122,7,5083,5205,5985
,,,9,42,240,1171,151,8,5084,5235,6255
,,,9,43,280,1541,181,10,5084,5265,6625
,,,9,44,320,1711,211,11,5084,5295,6795
,,,9,45,360,1800,240,12,5085,5325,6885
,,,10,46,40,313,3,2,6887,6890,7200
,,,10,47,80,363,33,3,6887,6920,7250
,,,10,48,120,512,62,4,6888,6950,7400
,,,10,49,160,732,92,6,6888,6980,7620
,,,10,50,200,992,122,7,6888,7010,7880
,,,10,51,240,1231,151,8,6889,7040,8120
,,,10,52,280,1811,181,10,6889,7070,8700
,,,10,53,320,1921,211,11,6889,7100,8810
,,,10,54,360,2131,241,12,6889,7130,9020
,,,10,55,400,2200,270,14,6890,7160,9090
,,,11,56,40,344,4,2,9092,9096,9436
,,,11,57,80,393,33,3,9093,9126,9486
,,,11,58,120,483,63,4,9093,9156,9576
,,,11,59,160,762,92,6,9094,9186,9856
,,,11,60,200,1082,122,7,9094,9216,10176
,,,11,61,240,1352,152,8,9094,9246,10446
,,,11,62,280,1841,181,10,9095,9276,10936
,,,11,63,320,2131,211,11,9095,9306,11226
,,,11,64,360,2341,241,12,9095,9336,11436
,,,11,65,400,2591,271,14,9095,9366,11686
,,,11,66,440,2640,300,15,9096,9396,11736
,,,12,67,40,374,4,2,11738,11742,12112
,,,12,68,80,424,34,3,11738,11772,12162
,,,12,69,120,513,63,4,11739,11802,12252
,,,12,70,160,853,93,6,11739,11832,12592
,,,12,71,200,1053,123,7,11739,11862,12792
,,,12,72,240,1382,152,8,11740,11892,13122
,,,12,73,280,1902,182,10,11740,11922,13642
,,,12,74,320,2222,212,11,11740,11952,13962
,,,12,75,360,2492,242,12,11740,11982,14232
,,,12,76,400,2921,271,14,11741,12012,14662
,,,12,77,440,3001,301,15,11741,12042,14742
,,,12,78,480,3121,331,16,11741,12072,14862
,,,13,79,40,404,4,2,14864,14868,15268
,,,13,80,80,454,34,3,14864,14898,15318
,,,13,81,120,543,63,4,14865,14928,15408
,,,13,82,160,823,93,6,14865,14958,15688
,,,13,83,200,1023,123,7,14865,14988,15888
,,,13,84,240,1293,153,8,14865,15018,16158
,,,13,85,280,1752,182,10,14866,15048,16618
,,,13,86,320,2222,212,11,14866,15078,17088
,,,13,87,360,2552,242,12,14866,15108,17418
,,,13,88,400,3161,271,14,14867,15138,18028
,,,13,89,440,3391,301,15,14867,15168,18258
,,,13,90,480,3541,331,16,14867,15198,18408
,,,13,91,520,3640,360,18,14868,15228,18508
,,,14,92,40,434,4,2,18510,18514,18944
,,,14,93,80,484,34,3,18510,18544,18994
,,,14,94,120,574,64,4,18510,18574,19084
,,,14,95,160,883,93,6,18511,18604,19394
,,,14,96,200,1113,123,7,18511,18634,19624
,,,14,97,240,1353,153,8,18511,18664,19864
,,,14,98,280,1962,182,10,18512,18694,20474
,,,14,99,320,2312,212,11,18512,18724,20824
,,,14,100,360,2822,242,12,18512,18754,21334
,,,14,101,400,3341,271,14,18513,18784,21854
,,,14,102,440,3571,301,15,18513,18814,22084
,,,14,103,480,3931,331,16,18513,18844,22444
,,,14,104,520,4090,360,18,18514,18874,22604
,,,14,105,560,4200,390,19,18514,18904,22714
,,,15,106,40,464,4,2,22716,22720,23180
,,,15,107,80,514,34,3,22716,22750,23230
,,,15,108,120,603,63,4,22717,22780,23320
,,,15,109,160,883,93,6,22717,22810,23600
,,,15,110,200,1083,123,7,22717,22840,23800
,,,15,111,240,1353,153,8,22717,22870,24070
,,,15,112,280,1812,182,10,22718,22900,24530
,,,15,113,320,2282,212,11,22718,22930,25000
,,,15,114,360,2822,242,12,22718,22960,25540
,,,15,115,400,3701,271,14,22719,22990,26420
,,,15,116,440,3931,301,15,22719,23020,26650
,,,15,117,480,4291,331,16,22719,23050,27010
,,,15,118,520,4540,360,18,22720,23080,27260
,,,15,119,560,4710,390,19,22720,23110,27430
,,,15,120,600,4800,420,20,22720,23140,27520
,,,16,121,40,495,5,2,27522,27527,28017
,,,16,122,80,545,35,3,27522,27557,28067
,,,16,123,120,635,65,4,27522,27587,28157
,,,16,124,160,974,94,6,27523,27617,28497
,,,16,125,200,1174,124,7,27523,27647,28697
