PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
3,241,,3,4,40,119,2,41,274,276,393
4,402,,3,5,80,201,4,81,274,278,475
5,604,,3,6,120,239,3,121,276,279,515
6,842,,4,7,40,158,2,41,517,519,675
7,1123,,4,8,80,281,4,81,517,521,798
8,1443,,4,9,120,359,3,121,519,522,878
9,1805,,4,10,160,399,4,161,519,523,918
10,2231,,5,11,40,199,3,41,922,925,1121
11,2652,,5,12,80,358,3,81,923,926,1281
12,3136,,5,13,120,481,7,121,923,930,1404
13,3649,,5,14,160,559,5,161,926,931,1485
14,4213,,5,15,200,600,10,201,926,936,1526
15,4817,,6,16,40,235,2,41,1528,1530,1763
16,5452,,6,17,80,440,5,81,1528,1533,1968
17,6139,,6,18,120,598,4,121,1530,1534,2128
18,6863,,6,19,160,718,5,161,1530,1535,2248
19,7631,,6,20,200,800,10,201,1530,1540,2330
,,,6,21,240,835,6,241,1535,1541,2370
,,,7,22,40,273,2,41,2372,2374,2645
,,,7,23,80,519,5,81,2372,2377,2891
,,,7,24,120,717,4,121,2374,2378,3091
,,,7,25,160,877,5,161,2374,2379,3251
,,,7,26,200,1000,11,201,2374,2385,3374
,,,7,27,240,1075,7,241,2379,2386,3454
,,,7,28,280,1116,14,281,2379,2393,3495
,,,8,29,40,311,2,41,3497,3499,3808
,,,8,30,80,598,5,81,3497,3502,4095
,,,8,31,120,836,4,121,3499,3503,4335
,,,8,32,160,1036,5,161,3499,3504,4535
,,,8,33,200,1200,11,201,3499,3510,4699
,,,8,34,240,1315,7,241,3504,3511,4819
,,,8,35,280,1395,8,281,3504,3512,4899
,,,8,36,320,1436,16,321,3504,3520,4940
,,,9,37,40,347,2,41,4943,4945,5290
,,,9,38,80,667,3,81,4943,4946,5610
,,,9,39,120,954,7,121,4943,4950,5897
,,,9,40,160,1197,9,161,4946,4955,6143
,,,9,41,200,1393,6,201,4950,4956,6343
,,,9,42,240,1553,7,241,4950,4957,6503
,,,9,43,280,1677,14,281,4950,4964,6627
,,,9,44,320,1751,8,321,4957,4965,6708
,,,9,45,360,1791,9,361,4957,4966,6748
,,,10,46,40,380,3,41,6749,6752,7129
,,,10,47,80,748,5,81,6750,6755,7498
,,,10,48,120,1074,7,121,6752,6759,7826
,,,10,49,160,1351,5,161,6755,6760,8106
,,,10,50,200,1591,6,201,6755,6761,8346
,,,10,51,240,1797,13,241,6755,6768,8552
,,,10,52,280,1952,8,281,6761,6769,8713
,,,10,53,320,2079,16,321,6761,6777,8840
,,,10,54,360,2157,9,361,6769,6778,8926
,,,10,55,400,2210,10,401,6769,6779,8979
,,,11,56,40,414,3,41,8983,8986,9397
,,,11,57,80,814,3,81,8984,8987,9798
,,,11,58,120,1175,4,121,8984,8988,10159
,,,11,59,160,1512,14,161,8984,8998,10496
,,,11,60,200,1790,11,201,8993,9004,10783
,,,11,61,240,2031,13,241,8998,9011,11029
,,,11,62,280,2225,8,281,9004,9012,11229
,,,11,63,320,2389,17,321,9004,9021,11393
,,,11,64,360,2501,10,361,9012,9022,11513
,,,11,65,400,2583,20,401,9012,9032,11595
,,,11,66,440,2613,11,441,9022,9033,11635
,,,12,67,40,459,2,41,11637,11639,12096
,,,12,68,80,910,5,81,11637,11642,12547
,,,12,69,120,1309,4,121,11639,11643,12948
,,,12,70,160,1680,9,161,11639,11648,13319
,,,12,71,200,1999,6,201,11643,11649,13642
,,,12,72,240,2279,7,241,11643,11650,13922
,,,12,73,280,2525,15,281,11643,11658,14168
,,,12,74,320,2719,9,321,11650,11659,14369
,,,12,75,360,2879,10,361,11650,11660,14529
,,,12,76,400,3002,21,401,11650,11671,14652
,,,12,77,440,3072,12,441,11660,11672,14732
,,,12,78,480,3113,24,481,11660,11684,14773
,,,13,79,40,492,2,41,14775,14777,15267
,,,13,80,80,984,5,81,14775,14780,15759
,,,13,81,120,1422,4,121,14777,14781,16199
,,,13,82,160,1822,5,161,14777,14782,16599
,,,13,83,200,2191,11,201,14777,14788,16968
,,,13,84,240,2506,7,241,14782,14789,17288
,,,13,85,280,2793,15,281,14782,14797,17575
,,,13,86,320,3027,9,321,14789,14798,17816
,,,13,87,360,3227,10,361,14789,14799,18016
,,,13,88,400,3391,21,401,14789,14810,18180
,,,13,89,440,3503,12,441,14799,14811,18302
,,,13,90,480,3584,13,481,14799,14812,18383
,,,13,91,520,3625,26,521,14799,14825,18424
,,,14,92,40,522,2,41,18426,18428,18948
,,,14,93,80,1055,5,81,18426,18431,19481
,,,14,94,120,1533,4,121,18428,18432,19961
,,,14,95,160,1985,9,161,18428,18437,20413
,,,14,96,200,2381,6,201,18432,18438,20813
,,,14,97,240,2751,13,241,18432,18445,21183
,,,14,98,280,3066,8,281,18438,18446,21504
,,,14,99,320,3348,9,321,18438,18447,21786
,,,14,100,360,3594,19,361,18438,18457,22032
,,,14,101,400,3786,11,401,18447,18458,22233
,,,14,102,440,3951,23,441,18447,18470,22398
,,,14,103,480,4060,13,481,18458,18471,22518
,,,14,104,520,4140,14,521,18458,18472,22598
,,,14,105,560,4181,28,561,18458,18486,22639
,,,15,106,40,577,3,41,22641,22644,23218
,,,15,107,80,1136,3,81,22642,22645,23778
,,,15,108,120,1659,4,121,22642,22646,24301
,,,15,109,160,2142,5,161,22642,22647,24784
,,,15,110,200,2594,11,201,22642,22653,25236
,,,15,111,240,2990,7,241,22647,22654,25637
,,,15,112,280,3351,8,281,22647,22655,25998
,,,15,113,320,3679,17,321,22647,22664,26326
,,,15,114,360,3952,10,361,22655,22665,26607
,,,15,115,400,4198,21,401,22655,22676,26853
,,,15,116,440,4388,12,441,22665,22677,27053
,,,15,117,480,4548,13,481,22665,22678,27213
,,,15,118,520,4672,26,521,22665,22691,27337
,,,15,119,560,4739,14,561,22678,22692,27417
,,,15,120,600,4780,15,601,22678,22693,27458
,,,16,121,40,598,2,41,27460,27462,28058
,,,16,122,80,1213,5,81,27460,27465,28673
,,,16,123,120,1772,4,121,27462,27466,29234
,,,16,124,160,2292,5,161,27462,27467,29754
,,,16,125,200,2785,11,201,27462,27473,30247
,,,16,126,240,3220,7,241,27467,27474,30687
,,,16,127,280,3620,8,281,27467,27475,31087
,,,16,128,320,3990,17,321,27467,27484,31457
,,,16,129,360,4303,10,361,27475,27485,31778
,,,16,130,400,4583,11,401,27475,27486,32058
,,,16,131,440,4829,23,441,27475,27498,32304
,,,16,132,480,5019,13,481,27486,27499,32505
,,,16,133,520,5184,27,521,27486,27513,32670
,,,16,134,560,5291,15,561,27499,27514,32790
,,,16,135,600,5373,30,601,27499,27529,32872
,,,16,136,640,5398,16,641,27514,27530,32912
,,,17,137,40,629,3,41,32914,32917,33543
,,,17,138,80,1269,3,81,32915,32918,34184
,,,17,139,120,1884,7,121,32915,32922,34799
,,,17,140,160,2442,5,161,32918,32923,35360
