PNUM,Total_tick,,PNUM,PID,schedTime,TurnAround,Response,CallCount,startSchedTick,firstSchedTick,EndSchedtick
3,241,,3,4,40,101,1,2,338,339,439
4,401,,3,5,80,151,31,3,338,369,489
5,602,,3,6,120,241,61,4,338,399,579
6,842,,4,7,40,131,1,2,581,582,712
7,1122,,4,8,80,181,31,3,581,612,762
8,1443,,4,9,120,330,60,4,582,642,912
9,1803,,4,10,160,400,90,6,582,672,982
10,2204,,5,11,40,162,2,2,984,986,1146
11,2644,,5,12,80,212,32,3,984,1016,1196
12,3124,,5,13,120,301,61,4,985,1046,1286
13,3644,,5,14,160,551,91,6,985,1076,1536
14,4205,,5,15,200,601,121,7,985,1106,1586
15,4807,,6,16,40,192,2,2,1588,1590,1780
16,5459,,6,17,80,242,32,3,1588,1620,1830
17,6133,,6,18,120,391,61,4,1589,1650,1980
18,6850,,6,19,160,611,91,6,1589,1680,2200
19,7608,,6,20,200,751,121,7,1589,1710,2340
,,,6,21,240,840,150,8,1590,1740,2430
,,,7,22,40,222,2,2,2432,2434,2654
,,,7,23,80,272,32,3,2432,2464,2704
,,,7,24,120,362,62,4,2432,2494,2794
,,,7,25,160,581,91,6,2433,2524,3014
,,,7,26,200,781,121,7,2433,2554,3214
,,,7,27,240,990,150,8,2434,2584,3424
,,,7,28,280,1120,180,10,2434,2614,3554
,,,8,29,40,253,3,2,3556,3559,3809
,,,8,30,80,303,33,3,3556,3589,3859
,,,8,31,120,393,63,4,3556,3619,3949
,,,8,32,160,732,92,6,3557,3649,4289
,,,8,33,200,902,122,7,3557,3679,4459
,,,8,34,240,1112,152,8,3557,3709,4669
,,,8,35,280,1361,181,10,3558,3739,4919
,,,8,36,320,1441,211,11,3558,3769,4999
,,,9,37,40,283,3,2,5001,5004,5284
,,,9,38,80,333,33,3,5001,5034,5334
,,,9,39,120,422,62,4,5002,5064,5424
,,,9,40,160,702,92,6,5002,5094,5704
,,,9,41,200,901,121,7,5003,5124,5904
,,,9,42,240,1171,151,8,5003,5154,6174
,,,9,43,280,1541,181,10,5003,5184,6544
,,,9,44,320,1710,210,11,5004,5214,6714
,,,9,45,360,1800,240,12,5004,5244,6804
,,,10,46,40,314,4,2,6806,6810,7120
,,,10,47,80,363,33,3,6807,6840,7170
,,,10,48,120,513,63,4,6807,6870,7320
,,,10,49,160,733,93,6,6807,6900,7540
,,,10,50,200,992,122,7,6808,6930,7800
,,,10,51,240,1232,152,8,6808,6960,8040
,,,10,52,280,1812,182,10,6808,6990,8620
,,,10,53,320,1861,211,11,6809,7020,8670
,,,10,54,360,2131,241,12,6809,7050,8940
,,,10,55,400,2201,271,14,6809,7080,9010
,,,11,56,40,344,4,2,9012,9016,9356
,,,11,57,80,394,34,3,9012,9046,9406
,,,11,58,120,483,63,4,9013,9076,9496
,,,11,59,160,763,93,6,9013,9106,9776
,,,11,60,200,1082,122,7,9014,9136,10096
,,,11,61,240,1382,152,8,9014,9166,10396
,,,11,62,280,1782,182,10,9014,9196,10796
,,,11,63,320,2071,211,11,9015,9226,11086
,,,11,64,360,2311,241,12,9015,9256,11326
,,,11,65,400,2561,271,14,9015,9286,11576
,,,11,66,440,2640,300,15,9016,9316,11656
